source_folder,eid,label,dt,sep,density,df
Metaexperiment_2026_07_31_15hh_59mm_cell_trapping_c6a10c234c,c6a10c234c,Eptx11-5July26,2026-07-31 18:30:17.423329,True,9000.0,1.5
Metaexperiment_2026_08_12_14hh_10mm_cell_trapping_32ae2d923e,32ae2d923e,Dptx17-5July26,2026-08-13 14:19:06.999018,False,1750000.0,2.0
Metaexperiment_2026_08_12_14hh_10mm_cell_trapping_32ae2d923e,32ae2d923e,Dptx17-5July26,2026-08-13 14:19:34.678680,True,108000.0,1.5
Metaexperiment_2026_08_13_15hh_4mm_cell_trapping_cbf9e100d7,cbf9e100d7,Eptx18-5July26,2026-08-14 12:41:53.614346,False,380000.0,2.0
Metaexperiment_2026_08_13_15hh_4mm_cell_trapping_cbf9e100d7,cbf9e100d7,Eptx18-5July26,2026-08-14 12:43:04.836252,True,21000.0,1.5
Metaexperiment_2026_08_18_13hh_36mm_cell_trapping_0dca831dc9,0dca831dc9,Eptx19-5July26,2026-08-18 13:42:42.348867,False,2180000.0,2.0
Metaexperiment_2026_08_18_13hh_36mm_cell_trapping_0dca831dc9,0dca831dc9,Eptx19-5July26,2026-08-18 13:43:02.385933,True,213000.0,1.5
Metaexperiment_2026_08_19_14hh_29mm_cell_trapping_446d930d19,446d930d19,Sptx5-4Aug26,2026-08-19 18:26:28.481982,False,1460000.0,2.0
Metaexperiment_2026_08_19_14hh_29mm_cell_trapping_446d930d19,446d930d19,Sptx5-4Aug26,2026-08-19 18:26:50.866294,True,99000.0,1.5
Metaexperiment_2026_08_20_15hh_31mm_cell_trapping_39eb6ed99e,39eb6ed99e,Gptx6-4Aug26,2026-08-21 14:24:39.647774,False,1175000.0,2.0
Metaexperiment_2026_08_20_15hh_31mm_cell_trapping_39eb6ed99e,39eb6ed99e,Gptx6-4Aug26,2026-08-21 14:25:28.044048,True,108000.0,1.5
Metaexperiment_2026_08_25_16hh_6mm_cell_trapping_b22492ad90,b22492ad90,Gptx9-4Aug26,2026-08-25 16:12:17.327469,False,3125000.0,2.0
Metaexperiment_2026_08_25_16hh_6mm_cell_trapping_b22492ad90,b22492ad90,Gptx9-4Aug26,2026-08-25 16:13:27.505727,True,132000.0,2.0
Metaexperiment_2026_08_25_16hh_6mm_cell_trapping_b22492ad90,b22492ad90,Gptx9-4Aug26,2026-08-25 18:13:24.153433,True,28000.0,2.0
Metaexperiment_2026_08_26_15hh_13mm_cell_trapping_8f93046d37,8f93046d37,Gptx10-4Aug26,2026-08-27 15:51:34.232210,False,2490000.0,2.0
Metaexperiment_2026_08_26_15hh_13mm_cell_trapping_8f93046d37,8f93046d37,Gptx10-4Aug26,2026-08-27 15:51:56.997069,True,159000.0,1.5
Metaexperiment_2026_08_27_15hh_55mm_cell_trapping_24680bda2c,24680bda2c,Gptx11.4Aug26,2026-08-27 18:12:31.060969,False,4070000.0,2.0
Metaexperiment_2026_08_27_15hh_55mm_cell_trapping_24680bda2c,24680bda2c,Gptx11.4Aug26,2026-08-27 18:13:06.530412,True,270000.0,1.5
Metaexperiment_2026_08_29_17hh_51mm_cell_trapping_f2b6bcfcfe,f2b6bcfcfe,Gptx12-4Aug26,2026-08-29 18:13:43.390315,False,2585000.0,2.0
Metaexperiment_2026_08_29_17hh_51mm_cell_trapping_f2b6bcfcfe,f2b6bcfcfe,Gptx12-4Aug26,2026-08-29 18:14:48.337961,True,231000.0,1.5
